;reference;preco;endereco;localizacao;metragem;quartos;garagens;banheiro
14581;ref: 190558;R$ 12.366.000;rua comendador rheingantz;Bela Vista, Porto Alegre - RS;510m²;4;5;5
14582;ref: 190733;R$ 255.000;rua duque de caxias;Centro Histórico, Porto Alegre - RS;46m²;1;;1
14583;ref: 190753;R$ 436.000;avenida cristovao colombo;Floresta, Porto Alegre - RS;76m²;2;;1
14584;ref: 190761;R$ 215.000;avenida plinio brasil milano;Higienópolis, Porto Alegre - RS;47m²;1;;1
14585;ref: 190773;R$ 280.000;rua joao zanenga;Cristo Redentor, Porto Alegre - RS;59m²;2;;1
14586;ref: 190836;R$ 320.000;rua ponche verde;Medianeira, Porto Alegre - RS;54m²;1;1;2
14587;ref: 190982;R$ 180.500;avenida fabio araujo santos;Nonoai, Porto Alegre - RS;59m²;2;;1
14588;ref: 190985;R$ 349.900;rua ignacio montanha;Farroupilha, Porto Alegre - RS;88m²;3;;1
14589;ref: 191014;R$ 175.000;rua sao manoel;Santana, Porto Alegre - RS;36m²;1;;1
14590;ref: 183588;R$ 208.050;rua doutor julio bocaccio;Santo Antônio, Porto Alegre - RS;49m²;2;1;1
14591;ref: 183854;R$ 275.000;avenida sarandi;Sarandi, Porto Alegre - RS;56m²;2;1;1
14592;ref: 183856;R$ 589.000;rua fernando cortez;Cristo Redentor, Porto Alegre - RS;76m²;2;1;2
14593;ref: 183858;R$ 640.000;avenida diario de noticias;Cristal, Porto Alegre - RS;44m²;1;1;1
14594;ref: 183928;R$ 276.000;avenida jose aloisio filho;Humaitá, Porto Alegre - RS;71m²;3;1;2
14595;ref: 188721;R$ 115.000;rua capitao pedroso;Restinga, Porto Alegre - RS;39m²;2;1;1
14596;ref: 188722;R$ 640.000;avenida da cavalhada;Cavalhada, Porto Alegre - RS;89m²;3;1;2
14597;ref: 188748;R$ 170.000;avenida jacui;Cristal, Porto Alegre - RS;51m²;2;;1
14598;ref: 188785;R$ 420.000;rua madre barbara maix;Jardim Planalto, Porto Alegre - RS;70m²;3;1;2
14599;ref: 188792;R$ 185.000;rua doutor vargas neto;Protásio Alves, Porto Alegre - RS;56m²;2;;1
14600;ref: 188799;R$ 186.000;avenida brasil;Navegantes, Porto Alegre - RS;39m²;1;;1
14601;ref: 188844;R$ 460.830;rua lila ripoll;Sarandi, Porto Alegre - RS;74m²;2;1;2
14602;ref: 188857;R$ 198.000;avenida bernardi;Cristo Redentor, Porto Alegre - RS;38m²;1;;1
14603;ref: 189075;R$ 250.000;rua engenheiro fernando de abreu pereira;Sarandi, Porto Alegre - RS;59m²;2;;1
14604;ref: 189076;R$ 138.000;rua doutor flores;Centro Histórico, Porto Alegre - RS;40m²;1;;1
14605;ref: 182664;R$ 200.000;avenida cristovao colombo;Floresta, Porto Alegre - RS;46m²;1;;1
14606;ref: 182838;R$ 220.000;avenida baltazar de oliveira garcia;São Sebastião, Porto Alegre - RS;44m²;2;1;1
14607;ref: 180523;R$ 270.000;avenida francisco trein;Cristo Redentor, Porto Alegre - RS;51m²;2;1;1
14608;ref: 180578;R$ 255.000;avenida assis brasil;São João, Porto Alegre - RS;67m²;2;;1
14609;ref: 180587;R$ 125.000;rua jose barcellos garcia;Rubem Berta, Porto Alegre - RS;38m²;2;1;1
14610;ref: 182587;R$ 350.000;rua fernandes vieira;Bom Fim, Porto Alegre - RS;36m²;1;;2
14611;ref: 187305;R$ 2.649.000;rua dona augusta;Menino Deus, Porto Alegre - RS;160m²;4;3;5
14612;ref: 187308;R$ 149.000;estrada cristiano kraemer;Vila Nova, Porto Alegre - RS;38m²;2;1;1
14613;ref: 187341;R$ 180.000;rua doutora rita lobato;Praia de Belas, Porto Alegre - RS;47m²;1;;1
14614;ref: 187363;R$ 200.000;rua joaquim de carvalho;Vila Nova, Porto Alegre - RS;50m²;2;1;1
14615;ref: 187385;R$ 190.000;rua deodoro;Protásio Alves, Porto Alegre - RS;51m²;3;1;1
14616;ref: 187407;R$ 310.000;rua doutor dario de bittencourt;Vila Ipiranga, Porto Alegre - RS;56m²;1;;1
14617;ref: 187447;R$ 225.000;rua roque calage;Passo da Areia, Porto Alegre - RS;31m²;1;1;2
14618;ref: 187563;R$ 580.000;rua dos burgueses;Partenon, Porto Alegre - RS;76m²;3;2;2
14619;ref: 187564;R$ 219.000;avenida wenceslau escobar;Cristal, Porto Alegre - RS;61m²;2;;1
14620;ref: 187662;R$ 121.600;rua professora amy herve ramires;Rubem Berta, Porto Alegre - RS;40m²;1;;1
14621;ref: 186706;R$ 230.000;rua joao candido;Vila Ipiranga, Porto Alegre - RS;43m²;1;;1
14622;ref: 186762;R$ 382.900;avenida doutor walter so jobim;Jardim Lindóia, Porto Alegre - RS;75m²;2;2;1
14623;ref: 186823;R$ 365.000;avenida eduardo prado;Cavalhada, Porto Alegre - RS;67m²;2;2;2
14624;ref: 186923;R$ 345.000;rua vidal barbosa;Sarandi, Porto Alegre - RS;96m²;3;2;2
14625;ref: 186925;R$ 370.000;avenida ipiranga;Azenha, Porto Alegre - RS;58m²;2;1;2
14626;ref: 186928;R$ 285.000;rua vidal barbosa;Sarandi, Porto Alegre - RS;63m²;2;2;1
