,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
119,ref: 294923,R$ 477.000,av bage,"Petropolis, Porto Alegre - RS",61m²,2.0,1.0,2.0
120,ref: 282919,R$ 680.000,avenida neusa goulart brizola,"Petropolis, Porto Alegre - RS",88m²,3.0,1.0,3.0
121,ref: 197150,R$ 475.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",77m²,2.0,2.0,3.0
122,ref: 388501,R$ 675.000,rua professor cristiano fischer,"Petropolis, Porto Alegre - RS",71m²,3.0,2.0,2.0
123,ref: 403219,R$ 750.000,avenida lageado,"Petropolis, Porto Alegre - RS",113m²,3.0,2.0,3.0
124,ref: 240553,R$ 675.000,avenida ijui,"Petropolis, Porto Alegre - RS",123m²,3.0,1.0,2.0
125,ref: 36968,R$ 750.000,avenida carlos gomes,"Petropolis, Porto Alegre - RS",117m²,3.0,2.0,2.0
126,ref: 203081,R$ 750.000,rua felipe de oliveira,"Petropolis, Porto Alegre - RS",113m²,3.0,1.0,3.0
127,ref: 169879,R$ 590.000,rua ferreira viana,"Petropolis, Porto Alegre - RS",89m²,2.0,2.0,3.0
128,ref: 452364,R$ 599.000,rua felipe de oliveira,"Petropolis, Porto Alegre - RS",73m²,2.0,1.0,2.0
129,ref: 452012,R$ 470.000,avenida lavras,"Petropolis, Porto Alegre - RS",74m²,2.0,1.0,2.0
130,ref: 363078,R$ 670.212,avenida itaqui,"Petropolis, Porto Alegre - RS",95m²,3.0,1.0,2.0
131,ref: 335213,R$ 598.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",63m²,2.0,2.0,2.0
132,ref: 154911,R$ 470.000,rua santa cecilia,"Petropolis, Porto Alegre - RS",70m²,2.0,,1.0
133,ref: 461721,R$ 460.000,travessa alexandrino de alencar,"Menino Deus, Porto Alegre - RS",119m²,2.0,,1.0
134,ref: 368195,R$ 760.000,rua mario antunes da cunha,"Petropolis, Porto Alegre - RS",90m²,3.0,2.0,3.0
135,ref: 355542,R$ 460.000,avenida erico verissimo,"Menino Deus, Porto Alegre - RS",66m²,2.0,,1.0
136,ref: 259817,R$ 459.000,rua costa,"Menino Deus, Porto Alegre - RS",75m²,2.0,1.0,1.0
137,ref: 435156,R$ 470.000,rua goncalves dias,"Menino Deus, Porto Alegre - RS",92m²,2.0,1.0,2.0
138,ref: 376173,R$ 610.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",74m²,2.0,,2.0
139,ref: 277327,R$ 470.000,rua goncalves dias,"Menino Deus, Porto Alegre - RS",92m²,2.0,1.0,2.0
140,ref: 378824,R$ 780.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",109m²,3.0,1.0,4.0
141,ref: 321461,R$ 455.800,rua sao benedito,"Petropolis, Porto Alegre - RS",74m²,2.0,1.0,1.0
142,ref: 328237,R$ 650.000,rua general souza doca,"Petropolis, Porto Alegre - RS",117m²,3.0,1.0,3.0
143,ref: 18436,R$ 650.000,rua barao do amazonas,"Petropolis, Porto Alegre - RS",110m²,3.0,1.0,3.0
144,ref: 203649,R$ 650.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",128m²,3.0,1.0,3.0
145,ref: 187346,R$ 780.000,rua riveira,"Petropolis, Porto Alegre - RS",68m²,3.0,2.0,3.0
146,ref: 442939,R$ 450.000,rua general caldwell,"Menino Deus, Porto Alegre - RS",59m²,2.0,1.0,1.0
147,ref: 416036,R$ 624.988,rua artigas,"Petropolis, Porto Alegre - RS",69m²,2.0,1.0,1.0
148,ref: 420974,R$ 649.000,rua coronel corte real,"Petropolis, Porto Alegre - RS",106m²,3.0,2.0,2.0
149,ref: 430293,R$ 450.000,avenida eurico aquino,"Menino Deus, Porto Alegre - RS",83m²,2.0,1.0,1.0
150,ref: 240012,R$ 450.000,rua general caldwell,"Menino Deus, Porto Alegre - RS",80m²,2.0,,2.0
151,ref: 310161,R$ 789.000,rua vicente da fontoura,"Petropolis, Porto Alegre - RS",117m²,3.0,1.0,3.0
152,ref: 342783,R$ 449.000,rua miguel couto,"Menino Deus, Porto Alegre - RS",87m²,2.0,,2.0
153,ref: 344353,R$ 649.000,avenida guapore,"Petropolis, Porto Alegre - RS",136m²,3.0,2.0,2.0
154,ref: 333598,R$ 790.000,avenida carlos gomes,"Petropolis, Porto Alegre - RS",153m²,3.0,2.0,5.0
155,ref: 159704,R$ 453.000,avenida protasio alves,"Petropolis, Porto Alegre - RS",75m²,2.0,2.0,2.0
