,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
306,ref: 468138,R$ 615.876,rua getulio zomer,"Canasvieiras, Florianopolis - SC",59m²,2,,2.0
307,ref: 468145,R$ 891.420,rua getulio zomer,"Canasvieiras, Florianopolis - SC",84m²,2,,1.0
308,ref: 468146,R$ 891.420,rua getulio zomer,"Canasvieiras, Florianopolis - SC",84m²,2,,1.0
309,ref: 468149,R$ 632.702,rua getulio zomer,"Canasvieiras, Florianopolis - SC",59m²,2,,1.0
310,ref: 470968,R$ 444.889,estrada cristovao machado de campos,"Vargem Grande, Florianopolis - SC",61m²,2,1.0,2.0
311,ref: 470969,R$ 428.889,estrada cristovao machado de campos,"Vargem Grande, Florianopolis - SC",57m²,2,1.0,1.0
312,ref: 470771,R$ 1.530.000,rua delminda silveira,"Beiramar, Florianopolis - SC",131m²,3,,5.0
313,ref: 465561,R$ 1.699.000,rua pastor william richard schisler filho,"Itacorubi, Florianopolis - SC",122m²,4,2.0,6.0
314,ref: 465569,R$ 1.012.018,rua leonel pereira,"Cachoeira do Bom Jesus, Florianopolis - SC",144m²,1,,1.0
315,ref: 465581,R$ 660.801,rua leonel pereira,"Cachoeira do Bom Jesus, Florianopolis - SC",58m²,2,,2.0
316,ref: 465596,R$ 570.930,rua leonel pereira,"Cachoeira do Bom Jesus, Florianopolis - SC",58m²,2,,1.0
317,ref: 465927,R$ 1.050.000,rodovia baldicero filomeno,"Ribeirao da Ilha, Florianopolis - SC",82m²,3,1.0,2.0
318,ref: 461611,R$ 2.700.000,rua pastor william richard schisler filho,"Itacorubi, Florianopolis - SC",189m²,3,3.0,3.0
319,ref: 464448,R$ 1.350.000,rua dos surubins,"Jurere, FLORIANOPOLIS - SC",107m²,3,2.0,3.0
320,ref: 462435,R$ 2.835.972,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,2.0,4.0
321,ref: 462444,R$ 2.977.770,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,2.0,4.0
322,ref: 462464,R$ 3.536.572,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",163m²,3,3.0,4.0
323,ref: 462468,R$ 2.835.972,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",135m²,3,2.0,4.0
324,ref: 459873,R$ 1.450.000,servidao jacatirao-acu,"Campeche, Florianopolis - SC",113m²,3,2.0,2.0
325,ref: 460303,R$ 1.460.000,rua itapiranga,"ITACORUBI, Florianopolis - SC",112m²,3,2.0,2.0
326,ref: 460346,R$ 750.000,avenida mauro ramos,"Centro, FLORIANOPOLIS - SC",76m²,2,1.0,2.0
327,ref: 460366,R$ 1.123.306,rua julio vieira,"Joao Paulo, Florianopolis - SC",82m²,2,,2.0
328,ref: 461176,R$ 357.000,servidao alvino luciano da silva,"Ingleses, Florianopolis - SC",55m²,2,2.0,1.0
329,ref: 461182,R$ 1.120.000,rua itapiranga,"itacorubi, Florianopolis - SC",88m²,2,1.0,2.0
330,ref: 462738,R$ 3.514.905,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",162m²,3,3.0,4.0
331,ref: 462742,R$ 3.325.919,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",158m²,3,2.0,4.0
332,ref: 462746,R$ 4.600.000,rua frei caneca,"Agronomica, Florianopolis - SC",221m²,3,3.0,8.0
333,ref: 462795,R$ 1.950.000,rua das corticeiras,"Campeche, Florianopolis - SC",101m²,3,2.0,2.0
334,ref: 462799,R$ 1.300.000*,avenida campeche,"Campeche, Florianopolis - SC",76m²,2,1.0,2.0
335,ref: 461738,R$ 1.300.000,rua joaquim jose antunes,"Campeche, Florianopolis - SC",115m²,3,,2.0
336,ref: 461785,R$ 700.000,servidao jaborandi,"Campeche, Florianopolis - SC",77m²,2,,2.0
337,ref: 462051,R$ 2.836.000,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",130m²,3,2.0,4.0
338,ref: 460671,R$ 415.000,rodovia joao gualberto soares,"Sao Joao do Rio Vermelho, Florianopolis - SC",68m²,2,1.0,2.0
339,ref: 460672,R$ 1.500.000,rua rui barbosa,"Beiramar, Florianopolis - SC",116m²,3,2.0,5.0
340,ref: 460175,R$ 720.000,rua timbauba do ribeirao,"Ribeirao da Ilha, Florianopolis - SC",73m²,2,2.0,2.0
341,ref: 460188,R$ 879.000,rua araci vaz callado,"Estreito, Florianopolis - SC",70m²,2,,2.0
342,ref: 464789,R$ 841.387,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",71m²,2,1.0,3.0
343,ref: 464793,R$ 841.387,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",69m²,2,1.0,3.0
344,ref: 464818,R$ 841.387,rua da baliza,"Cachoeira do Bom Jesus, Florianopolis - SC",73m²,2,1.0,3.0
345,ref: 464857,R$ 720.000,avenida buriti,"Itacorubi, Florianopolis - SC",71m²,2,1.0,2.0
346,ref: 465021,R$ 420.000,rua jornalista tito carvalho,"Carvoeira, Florianopolis - SC",47m²,1,1.0,1.0
347,ref: 465035,R$ 1.920.000,rua frei evaristo,"Centro, Florianopolis - SC",132m²,3,2.0,6.0
348,ref: 459719,R$ 420.000,rua getulio zomer,"Canasvieiras, Florianopolis - SC",90m²,2,,2.0
